20140901,264910743.23087874,337577132.9961396
20140902,266912082.3316493,311514140.5883944
20140903,256266380.4012371,313817454.63275373
20140904,237321978.7426198,295224081.28829944
20140905,199138286.66188282,284745625.02060163
20140906,146674526.21269268,230967330.34101212
20140907,153220837.85959798,249837646.13491005
20140908,259759277.8924707,338843824.25044304
20140909,261760616.99322137,312780831.8426905
20140910,251114915.06285116,315084145.8870487
20140911,232170513.4042473,296490772.5426517
20140912,193986821.32343587,286012316.27489746
20140913,141523060.87428457,232234021.59538382
20140914,148069372.52118802,251104337.3892001
20140915,254607812.5539225,340110515.5046592
20140916,256609151.6547574,314047523.09692323
20140917,245963449.72430202,316350837.14125985
20140918,227019048.0657209,297757463.796855
20140919,188835355.9849122,287279007.5290931
20140920,136371595.53582147,233500712.84959036
20140921,142917907.18265614,252371028.64343756
20140922,249456347.2153743,341377206.7588755
20140923,251457686.31625876,315314214.3511689
20140924,240811984.38587698,317617528.39553916
20140925,221867582.7272714,299024155.0511327
20140926,183683890.64651912,288545698.7833995
20140927,131220130.19735219,234767404.1038562
20140928,137766441.8442125,253637719.89763698
20140929,244304881.87696695,342643898.0131213
20140930,246306220.9778296,316580905.60538864
